Grid Demand [W],PV Gen [W],Day-ahead Price [EUR/MWh]
-983.25,2976.525,112.7
-4521.333333333333,99.42916666666666,109.97
-9735.833333333334,0.0,106.0
-13017.041666666666,0.0,91.0
-13224.166666666666,0.0,82.01
-13674.166666666666,0.0,78.18
-13130.791666666666,0.0,76.15
-13502.4375,0.0,76.5
-13188.958333333334,0.0,76.3
-12959.145833333334,0.0,80.0
-12611.020833333334,1992.1208333333332,93.26
-9213.541666666666,7479.941666666667,106.56
-5116.916666666667,16394.395833333332,108.45
-246.4375,27835.75833333333,95.91
1479.3958333333333,36648.74166666667,87.07
4469.729166666667,42318.60833333333,79.98
15245.3125,45273.50833333333,79.61
11912.5625,43265.05416666667,76.44
13393.604166666666,44402.8375,75.93
10738.375,40414.0625,77.04
9484.5625,34868.854166666664,82.63
4316.041666666667,26919.691666666666,90.73
378.6875,17943.325,101.78
-827.4791666666666,8733.5875,113.59
-2752.7405857740587,2591.811715481172,111.44
-9577.645833333334,84.02916666666667,110.0
-13719.395833333334,0.0,104.59
-13512.666666666666,0.0,95.5
-13412.395833333334,0.0,83.01
-14975.979166666666,0.0,77.36
-13912.458333333334,0.0,75.99
-12597.833333333334,0.0,75.01
-13238.729166666666,0.0,74.12
-13944.979166666666,0.0,78.1
-11811.4375,1945.825,95.06
-8959.729166666666,7058.9375,103.77
-4611.270833333333,15847.1875,105.25
177.16101694915255,26625.46186440678,96.92
1477.6875,35226.129166666666,88.08
4541.625,40734.59166666667,85.37
13826.770833333334,43933.05416666667,81.32
13740.4375,44652.98333333333,78.59
14033.0625,42718.51666666667,75.64
12158.104166666666,38832.55,74.0
8041.75,33673.5875,79.92
3544.833333333333,25674.75833333333,87.98
360.8541666666667,16691.604166666668,95.96
95.83333333333331,9278.279166666667,102.0
-1229.5833333333333,3060.5,105.0
-4763.479166666667,105.41666666666669,102.03
-11689.145833333334,0.0,97.06
-13460.8125,0.0,83.94
-13219.0,0.0,86.03
-13026.5625,0.0,80.1
-12964.083333333334,0.0,76.49
-12688.208333333334,0.0,75.1
-12837.770833333334,0.0,76.67
-12763.145833333334,0.0,83.03
-11703.625,1738.3833333333334,94.42
-8681.166666666666,6868.683333333333,105.63
-5195.125,15663.570833333331,106.91
186.8125,26586.825,98.06
197.39583333333331,35142.05416666667,93.01
2395.0625,40773.43333333333,89.95
15101.604166666666,43922.78333333333,88.09
20978.5625,43805.78333333333,79.19
19634.666666666668,42260.85416666666,74.51
15906.791666666666,38902.47083333333,75.01
11324.8125,33404.10833333333,75.8
5432.166666666667,25606.016666666663,85.45
-21.70833333333333,13994.308333333332,93.55
-651.1666666666666,8854.620833333332,103.42
-4274.875,2532.3708333333334,106.01
-10336.0,29.245833333333334,99.72
-12328.3125,0.0,95.15
-14126.458333333334,0.0,89.92
-13659.833333333334,0.0,85.0
-13907.907949790795,0.0,80.42
-14299.104166666666,0.0,76.3
-14031.041666666666,0.0,71.28
-13957.583333333334,0.0,70.33
-14425.1875,0.0,69.87
-13724.645833333334,543.2791666666667,71.3
-9794.416666666666,5019.391666666666,75.86
-12305.020833333334,2077.954166666667,78.3
-8921.25,5407.8125,78.81
-2099.125,19113.025,75.53
5240.5625,35783.9375,72.03
9794.270833333334,42448.60416666666,70.3
9738.666666666666,29540.7125,64.04
18484.39583333333,35268.145833333336,63.1
7298.0,22912.116666666665,65.01
4914.479166666667,21467.3375,68.91
1490.5416666666667,15223.591666666667,77.72
-30.354166666666668,14315.125,85.07
-718.375,6110.508333333333,90.21
-1220.2291666666667,3585.116666666667,90.04
