"Time","PVGen"
"2021-07-21 08:00:00","16.4 kW"
"2021-07-21 09:00:00","27.8 kW"
"2021-07-21 10:00:00","36.6 kW"
"2021-07-21 11:00:00","42.3 kW"
"2021-07-21 12:00:00","45.3 kW"
"2021-07-21 13:00:00","43.3 kW"
"2021-07-21 14:00:00","44.4 kW"
"2021-07-21 15:00:00","40.4 kW"
"2021-07-21 16:00:00","34.9 kW"
"2021-07-21 17:00:00","26.9 kW"
"2021-07-21 18:00:00","17.9 kW"
"2021-07-21 19:00:00","8.73 kW"
"2021-07-21 20:00:00","2.59 kW"
"2021-07-21 21:00:00","84.0 W"
"2021-07-21 22:00:00","0 W"
"2021-07-21 23:00:00","0 W"
"2021-07-22 00:00:00","0 W"
"2021-07-22 01:00:00","0 W"
"2021-07-22 02:00:00","0 W"
"2021-07-22 03:00:00","0 W"
"2021-07-22 04:00:00","0 W"
"2021-07-22 05:00:00","0 W"
"2021-07-22 06:00:00","1.95 kW"
"2021-07-22 07:00:00","7.06 kW"
"2021-07-22 08:00:00","15.8 kW"
"2021-07-22 09:00:00","26.6 kW"
"2021-07-22 10:00:00","35.2 kW"
"2021-07-22 11:00:00","40.7 kW"
"2021-07-22 12:00:00","43.9 kW"
"2021-07-22 13:00:00","44.7 kW"
"2021-07-22 14:00:00","42.7 kW"
"2021-07-22 15:00:00","38.8 kW"
"2021-07-22 16:00:00","33.7 kW"
"2021-07-22 17:00:00","25.7 kW"
"2021-07-22 18:00:00","16.7 kW"
"2021-07-22 19:00:00","9.28 kW"
"2021-07-22 20:00:00","3.06 kW"
"2021-07-22 21:00:00","105 W"
"2021-07-22 22:00:00","0 W"
"2021-07-22 23:00:00","0 W"
"2021-07-23 00:00:00","0 W"
"2021-07-23 01:00:00","0 W"
"2021-07-23 02:00:00","0 W"
"2021-07-23 03:00:00","0 W"
"2021-07-23 04:00:00","0 W"
"2021-07-23 05:00:00","0 W"
"2021-07-23 06:00:00","1.74 kW"
"2021-07-23 07:00:00","6.87 kW"
"2021-07-23 08:00:00","15.7 kW"
"2021-07-23 09:00:00","26.6 kW"
"2021-07-23 10:00:00","35.1 kW"
"2021-07-23 11:00:00","40.8 kW"
"2021-07-23 12:00:00","43.9 kW"
"2021-07-23 13:00:00","43.8 kW"
"2021-07-23 14:00:00","42.3 kW"
"2021-07-23 15:00:00","38.9 kW"
"2021-07-23 16:00:00","33.4 kW"
"2021-07-23 17:00:00","25.6 kW"
"2021-07-23 18:00:00","14.0 kW"
"2021-07-23 19:00:00","8.85 kW"
"2021-07-23 20:00:00","2.53 kW"
"2021-07-23 21:00:00","29.2 W"
"2021-07-23 22:00:00","0 W"
"2021-07-23 23:00:00","0 W"
"2021-07-24 00:00:00","0 W"
"2021-07-24 01:00:00","0 W"
"2021-07-24 02:00:00","0 W"
"2021-07-24 03:00:00","0 W"
"2021-07-24 04:00:00","0 W"
"2021-07-24 05:00:00","0 W"
"2021-07-24 06:00:00","543 W"
"2021-07-24 07:00:00","5.02 kW"
"2021-07-24 08:00:00","2.08 kW"
"2021-07-24 09:00:00","5.41 kW"
"2021-07-24 10:00:00","19.1 kW"
"2021-07-24 11:00:00","35.8 kW"
"2021-07-24 12:00:00","42.4 kW"
"2021-07-24 13:00:00","29.5 kW"
"2021-07-24 14:00:00","35.3 kW"
"2021-07-24 15:00:00","22.9 kW"
"2021-07-24 16:00:00","21.5 kW"
"2021-07-24 17:00:00","15.2 kW"
"2021-07-24 18:00:00","14.3 kW"
"2021-07-24 19:00:00","6.11 kW"
"2021-07-24 20:00:00","3.59 kW"
"2021-07-24 21:00:00","66.0 W"
"2021-07-24 22:00:00","0 W"
"2021-07-24 23:00:00","0 W"
"2021-07-25 00:00:00","0 W"
"2021-07-25 01:00:00","0 W"
"2021-07-25 02:00:00","0 W"
"2021-07-25 03:00:00","0 W"
"2021-07-25 04:00:00","0 W"
"2021-07-25 05:00:00","0 W"
"2021-07-25 06:00:00","1.28 kW"
"2021-07-25 07:00:00","3.20 kW"
"2021-07-25 08:00:00","12.0 kW"
"2021-07-25 09:00:00","29.3 kW"
"2021-07-25 10:00:00","34.6 kW"
"2021-07-25 11:00:00","32.0 kW"
"2021-07-25 12:00:00","31.6 kW"
"2021-07-25 13:00:00","41.0 kW"
"2021-07-25 14:00:00","39.4 kW"
"2021-07-25 15:00:00","37.4 kW"
"2021-07-25 16:00:00","21.8 kW"
"2021-07-25 17:00:00","10.8 kW"
"2021-07-25 18:00:00","9.18 kW"
"2021-07-25 19:00:00","7.39 kW"
"2021-07-25 20:00:00","1.23 kW"
"2021-07-25 21:00:00","1.81 W"
"2021-07-25 22:00:00","0 W"
"2021-07-25 23:00:00","0 W"
"2021-07-26 00:00:00","0 W"
"2021-07-26 01:00:00","0 W"
"2021-07-26 02:00:00","0 W"
"2021-07-26 03:00:00","0 W"
"2021-07-26 04:00:00","0 W"
"2021-07-26 05:00:00","0 W"
"2021-07-26 06:00:00","795 W"
"2021-07-26 07:00:00","4.41 kW"
"2021-07-26 08:00:00","7.55 kW"
"2021-07-26 09:00:00","27.2 kW"
"2021-07-26 10:00:00","33.6 kW"
"2021-07-26 11:00:00","36.7 kW"
"2021-07-26 12:00:00","41.9 kW"
"2021-07-26 13:00:00","43.5 kW"
"2021-07-26 14:00:00","13.4 kW"
"2021-07-26 15:00:00","37.6 kW"
"2021-07-26 16:00:00","23.2 kW"
"2021-07-26 17:00:00","24.6 kW"
"2021-07-26 18:00:00","2.99 kW"
"2021-07-26 19:00:00","4.61 kW"
"2021-07-26 20:00:00","3.56 kW"
"2021-07-26 21:00:00","11.2 W"
"2021-07-26 22:00:00","0 W"
"2021-07-26 23:00:00","0 W"
"2021-07-27 00:00:00","0 W"
"2021-07-27 01:00:00","0 W"
"2021-07-27 02:00:00","0 W"
"2021-07-27 03:00:00","0 W"
"2021-07-27 04:00:00","0 W"
"2021-07-27 05:00:00","0 W"
"2021-07-27 06:00:00","1.52 kW"
"2021-07-27 07:00:00","9.07 kW"
"2021-07-27 08:00:00","12.9 kW"
"2021-07-27 09:00:00","21.4 kW"
"2021-07-27 10:00:00","34.7 kW"
"2021-07-27 11:00:00","36.2 kW"
"2021-07-27 12:00:00","21.6 kW"
"2021-07-27 13:00:00","27.2 kW"
"2021-07-27 14:00:00","34.7 kW"
"2021-07-27 15:00:00","24.9 kW"
"2021-07-27 16:00:00","21.0 kW"
"2021-07-27 17:00:00","13.1 kW"
"2021-07-27 18:00:00","11.0 kW"
"2021-07-27 19:00:00","4.79 kW"
"2021-07-27 20:00:00","1.23 kW"
"2021-07-27 21:00:00","11.4 W"
"2021-07-27 22:00:00","0 W"
"2021-07-27 23:00:00","0 W"
"2021-07-28 00:00:00","0 W"
"2021-07-28 01:00:00","0 W"
"2021-07-28 02:00:00","0 W"
"2021-07-28 03:00:00","0 W"
"2021-07-28 04:00:00","0 W"
"2021-07-28 05:00:00","0 W"
"2021-07-28 06:00:00","1.70 kW"
"2021-07-28 07:00:00","4.04 kW"
"2021-07-28 08:00:00","6.51 kW"
"2021-07-28 09:00:00","10.1 kW"
"2021-07-28 10:00:00","17.5 kW"
"2021-07-28 11:00:00","18.4 kW"
"2021-07-28 12:00:00","39.3 kW"
"2021-07-28 13:00:00","42.6 kW"
"2021-07-28 14:00:00","30.4 kW"
"2021-07-28 15:00:00","6.82 kW"
"2021-07-28 16:00:00","26.0 kW"
"2021-07-28 17:00:00","19.2 kW"
"2021-07-28 18:00:00","8.77 kW"
