"Time","EDM: Balance"
"2021-09-18 23:00:00","-6.38 kW"
"2021-09-19 00:00:00","-8.31 kW"
"2021-09-19 01:00:00","-8.88 kW"
"2021-09-19 02:00:00","-8.06 kW"
"2021-09-19 03:00:00","-8.43 kW"
"2021-09-19 04:00:00","-8.12 kW"
"2021-09-19 05:00:00","-8.46 kW"
"2021-09-19 06:00:00","-7.98 kW"
"2021-09-19 07:00:00","-8.25 kW"
"2021-09-19 08:00:00","-3.56 kW"
"2021-09-19 09:00:00","14.5 W"
"2021-09-19 10:00:00","2.00 kW"
"2021-09-19 11:00:00","7.84 kW"
"2021-09-19 12:00:00","19.7 kW"
"2021-09-19 13:00:00","20.7 kW"
"2021-09-19 14:00:00","910 W"
"2021-09-19 15:00:00","12.5 kW"
"2021-09-19 16:00:00","6.39 kW"
"2021-09-19 17:00:00","593 W"
"2021-09-19 18:00:00","-91.5 W"
"2021-09-19 19:00:00","-146 W"
"2021-09-19 20:00:00","-2.93 kW"
"2021-09-19 21:00:00","-3.62 kW"
"2021-09-19 22:00:00","-7.94 kW"
"2021-09-19 23:00:00","-8.06 kW"
"2021-09-20 00:00:00","-9.43 kW"
"2021-09-20 01:00:00","-9.11 kW"
"2021-09-20 02:00:00","-8.10 kW"
"2021-09-20 03:00:00","-8.95 kW"
"2021-09-20 04:00:00","-8.95 kW"
"2021-09-20 05:00:00","-8.17 kW"
"2021-09-20 06:00:00","-8.95 kW"
"2021-09-20 07:00:00","-12.4 kW"
"2021-09-20 08:00:00","-13.8 kW"
"2021-09-20 09:00:00","-10.4 kW"
"2021-09-20 10:00:00","-6.58 kW"
"2021-09-20 11:00:00","-1.96 kW"
"2021-09-20 12:00:00","-4.31 kW"
"2021-09-20 13:00:00","67.3 W"
"2021-09-20 14:00:00","224 W"
"2021-09-20 15:00:00","23.8 W"
"2021-09-20 16:00:00","-504 W"
"2021-09-20 17:00:00","-1.54 kW"
"2021-09-20 18:00:00","-7.14 kW"
"2021-09-20 19:00:00","-9.98 kW"
"2021-09-20 20:00:00","-9.20 kW"
"2021-09-20 21:00:00","-9.36 kW"
"2021-09-20 22:00:00","-8.30 kW"
"2021-09-20 23:00:00","-8.88 kW"
"2021-09-21 00:00:00","-8.48 kW"
"2021-09-21 01:00:00","-8.98 kW"
