"MTU (CET/CEST)","Day-ahead Price [EUR/MWh]"
"18.07.2021 01:00 - 18.07.2021 02:00","55.75"
"18.07.2021 02:00 - 18.07.2021 03:00","50.86"
"18.07.2021 03:00 - 18.07.2021 04:00","50.17"
"18.07.2021 04:00 - 18.07.2021 05:00","45.49"
"18.07.2021 05:00 - 18.07.2021 06:00","46.33"
"18.07.2021 06:00 - 18.07.2021 07:00","50.83"
"18.07.2021 07:00 - 18.07.2021 08:00","55.49"
"18.07.2021 08:00 - 18.07.2021 09:00","54.82"
"18.07.2021 09:00 - 18.07.2021 10:00","46.57"
"18.07.2021 10:00 - 18.07.2021 11:00","35.33"
"18.07.2021 11:00 - 18.07.2021 12:00","25.78"
"18.07.2021 12:00 - 18.07.2021 13:00","19.56"
"18.07.2021 13:00 - 18.07.2021 14:00","0.10"
"18.07.2021 14:00 - 18.07.2021 15:00","-1.04"
"18.07.2021 15:00 - 18.07.2021 16:00","-5.00"
"18.07.2021 16:00 - 18.07.2021 17:00","0.01"
"18.07.2021 17:00 - 18.07.2021 18:00","22.50"
"18.07.2021 18:00 - 18.07.2021 19:00","58.02"
"18.07.2021 19:00 - 18.07.2021 20:00","74.62"
"18.07.2021 20:00 - 18.07.2021 21:00","79.92"
"18.07.2021 21:00 - 18.07.2021 22:00","85.03"
"18.07.2021 22:00 - 18.07.2021 23:00","94.19"
"18.07.2021 23:00 - 19.07.2021 00:00","91.13"
"19.07.2021 00:00 - 19.07.2021 01:00","73.10"
"19.07.2021 01:00 - 19.07.2021 02:00","67.20"
"19.07.2021 02:00 - 19.07.2021 03:00","64.40"
"19.07.2021 03:00 - 19.07.2021 04:00","64.83"
"19.07.2021 04:00 - 19.07.2021 05:00","65.72"
"19.07.2021 05:00 - 19.07.2021 06:00","73.48"
"19.07.2021 06:00 - 19.07.2021 07:00","95.30"
"19.07.2021 07:00 - 19.07.2021 08:00","100.00"
"19.07.2021 08:00 - 19.07.2021 09:00","105.05"
"19.07.2021 09:00 - 19.07.2021 10:00","98.99"
"19.07.2021 10:00 - 19.07.2021 11:00","95.00"
"19.07.2021 11:00 - 19.07.2021 12:00","93.10"
"19.07.2021 12:00 - 19.07.2021 13:00","89.36"
"19.07.2021 13:00 - 19.07.2021 14:00","83.48"
"19.07.2021 14:00 - 19.07.2021 15:00","78.40"
"19.07.2021 15:00 - 19.07.2021 16:00","77.95"
"19.07.2021 16:00 - 19.07.2021 17:00","85.11"
"19.07.2021 17:00 - 19.07.2021 18:00","93.70"
"19.07.2021 18:00 - 19.07.2021 19:00","100.00"
"19.07.2021 19:00 - 19.07.2021 20:00","110.00"
"19.07.2021 20:00 - 19.07.2021 21:00","115.20"
"19.07.2021 21:00 - 19.07.2021 22:00","110.02"
"19.07.2021 22:00 - 19.07.2021 23:00","103.86"
"19.07.2021 23:00 - 20.07.2021 00:00","97.78"
"20.07.2021 00:00 - 20.07.2021 01:00","85.70"
"20.07.2021 01:00 - 20.07.2021 02:00","81.31"
"20.07.2021 02:00 - 20.07.2021 03:00","79.70"
"20.07.2021 03:00 - 20.07.2021 04:00","77.38"
"20.07.2021 04:00 - 20.07.2021 05:00","77.93"
