"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              10/07/2022 16:00 - 10/07/2022 17:00,"BZN|DE-LU","PT60M",40.29,"EUR"
              10/07/2022 17:00 - 10/07/2022 18:00,"BZN|DE-LU","PT60M",77.11,"EUR"
              10/07/2022 18:00 - 10/07/2022 19:00,"BZN|DE-LU","PT60M",157.13,"EUR"
              10/07/2022 19:00 - 10/07/2022 20:00,"BZN|DE-LU","PT60M",322.13,"EUR"
              10/07/2022 20:00 - 10/07/2022 21:00,"BZN|DE-LU","PT60M",369.90,"EUR"
              10/07/2022 21:00 - 10/07/2022 22:00,"BZN|DE-LU","PT60M",378.07,"EUR"
              10/07/2022 22:00 - 10/07/2022 23:00,"BZN|DE-LU","PT60M",389.17,"EUR"
              10/07/2022 23:00 - 11/07/2022 00:00,"BZN|DE-LU","PT60M",371.92,"EUR"
              11/07/2022 00:00 - 11/07/2022 01:00,"BZN|DE-LU","PT60M",320.08,"EUR"
              11/07/2022 01:00 - 11/07/2022 02:00,"BZN|DE-LU","PT60M",278.00,"EUR"
              11/07/2022 02:00 - 11/07/2022 03:00,"BZN|DE-LU","PT60M",275.96,"EUR"
              11/07/2022 03:00 - 11/07/2022 04:00,"BZN|DE-LU","PT60M",269.27,"EUR"
              11/07/2022 04:00 - 11/07/2022 05:00,"BZN|DE-LU","PT60M",272.15,"EUR"
              11/07/2022 05:00 - 11/07/2022 06:00,"BZN|DE-LU","PT60M",298.00,"EUR"
              11/07/2022 06:00 - 11/07/2022 07:00,"BZN|DE-LU","PT60M",395.95,"EUR"
              11/07/2022 07:00 - 11/07/2022 08:00,"BZN|DE-LU","PT60M",415.08,"EUR"
              11/07/2022 08:00 - 11/07/2022 09:00,"BZN|DE-LU","PT60M",433.97,"EUR"
              11/07/2022 09:00 - 11/07/2022 10:00,"BZN|DE-LU","PT60M",416.32,"EUR"
              11/07/2022 10:00 - 11/07/2022 11:00,"BZN|DE-LU","PT60M",404.98,"EUR"
              11/07/2022 11:00 - 11/07/2022 12:00,"BZN|DE-LU","PT60M",396.90,"EUR"
