"Time","Radiation"
2022-08-04 05:00:00,27.7
2022-08-04 08:00:00,543
2022-08-04 11:00:00,826
2022-08-04 14:00:00,655
2022-08-04 17:00:00,185
2022-08-04 20:00:00,5.90
2022-08-04 23:00:00,1.19
2022-08-05 02:00:00,1.19
2022-08-05 05:00:00,25.6
2022-08-05 08:00:00,422
2022-08-05 11:00:00,759
2022-08-05 14:00:00,502
2022-08-05 17:00:00,123
2022-08-05 20:00:00,8.71
2022-08-05 23:00:00,1.07
2022-08-06 02:00:00,1.05
2022-08-06 05:00:00,28.8
2022-08-06 08:00:00,564
2022-08-06 11:00:00,820
2022-08-06 14:00:00,666
2022-08-06 17:00:00,190
2022-08-06 20:00:00,6.04
2022-08-06 23:00:00,1.05
2022-08-07 02:00:00,1.01
2022-08-07 05:00:00,24.9
2022-08-07 08:00:00,561
2022-08-07 11:00:00,852
2022-08-07 14:00:00,661
2022-08-07 17:00:00,186
2022-08-07 20:00:00,6.14
2022-08-07 23:00:00,1.06
2022-08-08 02:00:00,1.02
2022-08-08 05:00:00,20.5
2022-08-08 08:00:00,545
2022-08-08 11:00:00,836
2022-08-08 14:00:00,645
2022-08-08 17:00:00,180
2022-08-08 20:00:00,5.86
2022-08-08 23:00:00,1.07
2022-08-09 02:00:00,1.04
2022-08-09 05:00:00,22.4
2022-08-09 08:00:00,379
2022-08-09 11:00:00,830
2022-08-09 14:00:00,632
2022-08-09 17:00:00,178
2022-08-09 20:00:00,5.74
2022-08-09 23:00:00,1.16
2022-08-10 02:00:00,1.13
2022-08-10 05:00:00,22.6
2022-08-10 08:00:00,542
2022-08-10 11:00:00,828
2022-08-10 14:00:00,634
2022-08-10 17:00:00,140
2022-08-10 20:00:00,5.77
2022-08-10 23:00:00,1.18
2022-08-11 02:00:00,1.12
2022-08-11 05:00:00,21.9
2022-08-11 08:00:00,533
2022-08-11 11:00:00,812
2022-08-11 14:00:00,634
2022-08-11 17:00:00,171
2022-08-11 20:00:00,4.79
2022-08-11 23:00:00,1.13
2022-08-12 02:00:00,1.12
2022-08-12 05:00:00,19.4
2022-08-12 08:00:00,541
2022-08-12 11:00:00,820
2022-08-12 14:00:00,593
2022-08-12 17:00:00,173
2022-08-12 20:00:00,5.01
2022-08-12 23:00:00,1.12
2022-08-13 02:00:00,1.10
2022-08-13 05:00:00,17.4
2022-08-13 08:00:00,529
2022-08-13 11:00:00,821
2022-08-13 14:00:00,631
2022-08-13 17:00:00,166
2022-08-13 20:00:00,4.86
2022-08-13 23:00:00,1.11
2022-08-14 02:00:00,1.09
2022-08-14 05:00:00,22.3
2022-08-14 08:00:00,517
2022-08-14 11:00:00,805
2022-08-14 14:00:00,566
2022-08-14 17:00:00,144
2022-08-14 20:00:00,4.25
2022-08-14 23:00:00,1.27
2022-08-15 02:00:00,1.23
2022-08-15 05:00:00,12.0
2022-08-15 08:00:00,217
2022-08-15 11:00:00,616
2022-08-15 14:00:00,424
2022-08-15 17:00:00,169
2022-08-15 20:00:00,3.82
2022-08-15 23:00:00,1.11
2022-08-16 02:00:00,1.10
2022-08-16 05:00:00,24.4
2022-08-16 08:00:00,377
2022-08-16 11:00:00,754
2022-08-16 14:00:00,596
2022-08-16 17:00:00,156
2022-08-16 20:00:00,3.62
2022-08-16 23:00:00,1.44
2022-08-17 02:00:00,1.43
2022-08-17 05:00:00,25.6
2022-08-17 08:00:00,89.1
2022-08-17 11:00:00,229
2022-08-17 14:00:00,443
2022-08-17 17:00:00,144
2022-08-17 20:00:00,3.63
2022-08-17 23:00:00,1.56
2022-08-18 02:00:00,1.48
2022-08-18 05:00:00,8.97
2022-08-18 08:00:00,71.0
2022-08-18 11:00:00,383
2022-08-18 14:00:00,521
2022-08-18 17:00:00,137
2022-08-18 20:00:00,4.17
2022-08-18 23:00:00,1.54
