"MTU (CET/CEST)","Area","Resolution","Price","Currency"
              08/05/2022 05:00 - 08/05/2022 06:00,"BZN|DE-LU","PT60M",186.06,"EUR"
              08/05/2022 06:00 - 08/05/2022 07:00,"BZN|DE-LU","PT60M",184.97,"EUR"
              08/05/2022 07:00 - 08/05/2022 08:00,"BZN|DE-LU","PT60M",185.93,"EUR"
              08/05/2022 08:00 - 08/05/2022 09:00,"BZN|DE-LU","PT60M",183.62,"EUR"
              08/05/2022 09:00 - 08/05/2022 10:00,"BZN|DE-LU","PT60M",163.45,"EUR"
              08/05/2022 10:00 - 08/05/2022 11:00,"BZN|DE-LU","PT60M",140.33,"EUR"
              08/05/2022 11:00 - 08/05/2022 12:00,"BZN|DE-LU","PT60M",123.17,"EUR"
              08/05/2022 12:00 - 08/05/2022 13:00,"BZN|DE-LU","PT60M",114.65,"EUR"
              08/05/2022 13:00 - 08/05/2022 14:00,"BZN|DE-LU","PT60M",86.18,"EUR"
              08/05/2022 14:00 - 08/05/2022 15:00,"BZN|DE-LU","PT60M",78.50,"EUR"
              08/05/2022 15:00 - 08/05/2022 16:00,"BZN|DE-LU","PT60M",93.26,"EUR"
              08/05/2022 16:00 - 08/05/2022 17:00,"BZN|DE-LU","PT60M",113.60,"EUR"
              08/05/2022 17:00 - 08/05/2022 18:00,"BZN|DE-LU","PT60M",155.80,"EUR"
              08/05/2022 18:00 - 08/05/2022 19:00,"BZN|DE-LU","PT60M",196.04,"EUR"
              08/05/2022 19:00 - 08/05/2022 20:00,"BZN|DE-LU","PT60M",234.60,"EUR"
              08/05/2022 20:00 - 08/05/2022 21:00,"BZN|DE-LU","PT60M",238.99,"EUR"
              08/05/2022 21:00 - 08/05/2022 22:00,"BZN|DE-LU","PT60M",238.35,"EUR"
              08/05/2022 22:00 - 08/05/2022 23:00,"BZN|DE-LU","PT60M",225.91,"EUR"
              08/05/2022 23:00 - 09/05/2022 00:00,"BZN|DE-LU","PT60M",217.90,"EUR"
              09/05/2022 00:00 - 09/05/2022 01:00,"BZN|DE-LU","PT60M",209.08,"EUR"
              09/05/2022 01:00 - 09/05/2022 02:00,"BZN|DE-LU","PT60M",199.21,"EUR"
              09/05/2022 02:00 - 09/05/2022 03:00,"BZN|DE-LU","PT60M",196.07,"EUR"
              09/05/2022 03:00 - 09/05/2022 04:00,"BZN|DE-LU","PT60M",191.11,"EUR"
